step, x0, y0, z0, a, b, c, learningRate
0, -27177070592.000000, 1243601408.000000, 14864686080.000000, -9046164766720.000000, -20835977216.000000, -2706264817664.000000, 0.0000000000001
1, -3364745728.000000, 533047968.000000, 4148692992.000000, -583176290304.000000, -8469054976.000000, -591463907328.000000, 0.0000000000001
2, -3023417600.000000, 291789920.000000, 3684016384.000000, -514101182464.000000, -2690516224.000000, -517091786752.000000, 0.0000000000001
3, -2752494336.000000, 478780224.000000, 3158679808.000000, -458588618752.000000, -7599118336.000000, -414183849984.000000, 0.0000000000001
4, -2525431296.000000, 436214112.000000, 2966968832.000000, -410276298752.000000, -6559156224.000000, -391107149824.000000, 0.0000000000001
5, -2256465920.000000, -230613040.000000, 2742835968.000000, -345623560192.000000, -1897802752.000000, -355322527744.000000, 0.0000000000001
6, -1958874624.000000, -3004921600.000000, 2773993472.000000, -272467542016.000000, -331661377536.000000, -383118442496.000000, 0.0000000000001
7, -1297191936.000000, -3770983680.000000, 2546486016.000000, -126439833600.000000, -562148933632.000000, -345974243328.000000, 0.0000000000001
8, -813508864.000000, -2578250496.000000, 2313678592.000000, -52420431872.000000, -289003044864.000000, -306063507456.000000, 0.0000000000001
9, -596573376.000000, -571778880.000000, 1963627648.000000, -29065275392.000000, -14973340672.000000, -231169654784.000000, 0.0000000000001
10, -699930560.000000, 1116023808.000000, 1445651968.000000, -40523268096.000000, -57771098112.000000, -128568836096.000000, 0.0000000000001
11, -1006715136.000000, 2125666944.000000, 988979840.000000, -84772503552.000000, -212539899904.000000, -61213876224.000000, 0.0000000000001
12, -1572477952.000000, 1631569408.000000, 1002258112.000000, -210721144832.000000, -129275682816.000000, -64043139072.000000, 0.0000000000001
13, -2124732800.000000, -144229104.000000, 842158848.000000, -394541531136.000000, -1036745984.000000, -46109319168.000000, 0.0000000000001
14, -2077533056.000000, -1961600128.000000, 681985984.000000, -390014566400.000000, -194834022400.000000, -30803924992.000000, 0.0000000000001
15, -1733036032.000000, -3027922432.000000, 566420032.000000, -282420477952.000000, -482201239552.000000, -21776840704.000000, 0.0000000000001
16, -1174817152.000000, -3294343424.000000, 769517312.000000, -135326154752.000000, -610009088000.000000, -41454813184.000000, 0.0000000000001
17, -529128256.000000, -2720665088.000000, 767128832.000000, -28410066944.000000, -447691325440.000000, -42495848448.000000, 0.0000000000001
18, -188832016.000000, -1233949184.000000, 921501312.000000, -3687425536.000000, -96750297088.000000, -62575476736.000000, 0.0000000000001
19, -142442864.000000, 325872128.000000, 761860480.000000, -2111158400.000000, -6833808896.000000, -43190566912.000000, 0.0000000000001
20, -292381760.000000, 933427712.000000, 566221376.000000, -8915293184.000000, -56220086272.000000, -23970969600.000000, 0.0000000000001
21, -601936384.000000, 1340852992.000000, 511909184.000000, -37919363072.000000, -116824424448.000000, -19682406400.000000, 0.0000000000001
22, -1152968960.000000, 1406904704.000000, 536598912.000000, -140156141568.000000, -130403827712.000000, -21777840128.000000, 0.0000000000001
23, -1723576448.000000, 389011872.000000, 102869856.000000, -318163255296.000000, -10156829696.000000, -809240640.000000, 0.0000000000001
24, -1778499456.000000, -729499136.000000, 17229384.000000, -347135868928.000000, -36138287104.000000, -22953484.000000, 0.0000000000001
25, -1632843648.000000, -1721938304.000000, -219416848.000000, -300559073280.000000, -204362727424.000000, -3769115136.000000, 0.0000000000001
26, -1390891648.000000, -2310783744.000000, -304830528.000000, -224323125248.000000, -379077689344.000000, -7392886784.000000, 0.0000000000001
27, -1104952192.000000, -2447457792.000000, -258786928.000000, -145511071744.000000, -444042706944.000000, -5429326848.000000, 0.0000000000001
28, -844454400.000000, -2392924160.000000, -346585760.000000, -86944153600.000000, -444141207552.000000, -9907399680.000000, 0.0000000000001
29, -625650944.000000, -2148288768.000000, -289253824.000000, -48591634432.000000, -373368815616.000000, -7005651456.000000, 0.0000000000001
30, -369126784.000000, -1708981632.000000, 169727664.000000, -17130820608.000000, -244313456640.000000, -2439290880.000000, 0.0000000000001
31, -224765824.000000, -170799360.000000, 838049600.000000, -6395743744.000000, -2491534336.000000, -59850399744.000000, 0.0000000000001
32, -503136800.000000, 898764352.000000, 469753600.000000, -32158750720.000000, -69220646912.000000, -18931699712.000000, 0.0000000000001
33, -923488320.000000, 1038409280.000000, 303961696.000000, -108857991168.000000, -93103955968.000000, -7963183104.000000, 0.0000000000001
34, -1290790272.000000, 55900692.000000, 320576512.000000, -214851747840.000000, -272891392.000000, -8913920000.000000, 0.0000000000001
35, -1183009152.000000, -799034368.000000, 528105632.000000, -183306829824.000000, -56154652672.000000, -24376254464.000000, 0.0000000000001
36, -761165376.000000, -685155968.000000, 1078758144.000000, -77050454016.000000, -41759625216.000000, -102682099712.000000, 0.0000000000001
37, -556667904.000000, -539645376.000000, 1194792064.000000, -41680052224.000000, -26185832448.000000, -127779315712.000000, 0.0000000000001
38, -327405760.000000, -551343040.000000, 1068192384.000000, -14558478336.000000, -27596767232.000000, -103731486720.000000, 0.0000000000001
39, -38588476.000000, -662550208.000000, 566050944.000000, -203576720.000000, -40158011392.000000, -29481717760.000000, 0.0000000000001
40, 60265344.000000, -785080064.000000, -134707328.000000, -497682368.000000, -56646578176.000000, -1676342272.000000, 0.0000000000001
41, -9878540.000000, -635605248.000000, -768121536.000000, -13390446.000000, -37301501952.000000, -54584147968.000000, 0.0000000000001
42, -190868240.000000, -596628032.000000, -1360004992.000000, -5016025600.000000, -33050226688.000000, -172239306752.000000, 0.0000000000001
43, -417133568.000000, -516047712.000000, -1579841024.000000, -24177881088.000000, -24995579904.000000, -236831883264.000000, 0.0000000000001
44, -658880192.000000, -453068512.000000, -1561865984.000000, -61117329408.000000, -19530377216.000000, -237455933440.000000, 0.0000000000001
45, -917887936.000000, -320947744.000000, -1465938816.000000, -120441274368.000000, -9939274752.000000, -214727704576.000000, 0.0000000000001
46, -1098738432.000000, -106914696.000000, -1055331776.000000, -175712616448.000000, -1118428928.000000, -114120597504.000000, 0.0000000000001
47, -1169933184.000000, -36701004.000000, -318510048.000000, -202670604288.000000, -133181448.000000, -10569648128.000000, 0.0000000000001
48, -919514240.000000, -252805440.000000, 448388960.000000, -127016591360.000000, -6361885696.000000, -21100636160.000000, 0.0000000000001
49, -1164273536.000000, -36248372.000000, -605972544.000000, -205628866560.000000, -131489344.000000, -38773137408.000000, 0.0000000000001
